t, vel_x_des, vel_x_act, vel_y_des, vel_y_act, w_des, w_act, zero, roll, pitch, height_target, height, z_left, z_right
0.002,0,-4.95362e-07,0,-8.31063e-09,0,-1.17378e-08,0,5.18781e-10,-3.29455e-08,0.643,0.671345,0.0275694,0.0275694
0.004,0,-8.61752e-07,0,-1.43851e-08,0,-1.7726e-08,0,1.9673e-09,-1.24927e-07,0.643,0.671286,0.0275107,0.0275107
0.006,0,-1.13025e-06,0,-1.87666e-08,0,-1.96941e-08,0,4.20429e-09,-2.66939e-07,0.643,0.671189,0.0274128,0.0274128
0.008,0,-1.32582e-06,0,-2.18896e-08,0,-1.89425e-08,0,7.11192e-09,-4.51451e-07,0.643,0.671052,0.0272758,0.0272758
0.01,0,-1.46844e-06,0,-2.41012e-08,0,-1.64396e-08,0,1.05918e-08,-6.72156e-07,0.643,0.670876,0.0270996,0.0270996
0.012,0,-1.57414e-06,0,-2.56778e-08,0,-1.28968e-08,0,1.45613e-08,-9.23766e-07,0.643,0.67066,0.0268843,0.0268843
0.014,0,-1.65567e-06,0,-2.68394e-08,0,-8.82863e-09,0,1.89515e-08,-1.20184e-06,0.643,0.670406,0.0266298,0.0266298
0.016,0,-1.7232e-06,0,-2.77605e-08,0,-4.59933e-09,0,2.37038e-08,-1.50263e-06,0.643,0.670112,0.0263362,0.0263362
0.018,0,-1.78482e-06,0,-2.85791e-08,0,-4.59359e-10,0,2.87693e-08,-1.823e-06,0.643,0.66978,0.0260035,0.0260035
0.02,0,-1.8469e-06,0,-2.94037e-08,0,3.42619e-09,0,3.41062e-08,-2.16027e-06,0.643,0.669408,0.0256316,0.0256316
0.022,0,-1.91449e-06,0,-3.03196e-08,0,6.9555e-09,0,3.96792e-08,-2.51221e-06,0.643,0.668997,0.0252206,0.0252206
0.024,0,-1.99152e-06,0,-3.13933e-08,0,1.00731e-08,0,4.54584e-08,-2.87689e-06,0.643,0.668547,0.0247704,0.0247704
0.026,0,-2.08109e-06,0,-3.26761e-08,0,1.27568e-08,0,5.1418e-08,-3.25269e-06,0.643,0.668058,0.0242811,0.0242811
0.028,0,-2.18558e-06,0,-3.42078e-08,0,1.50077e-08,0,5.7536e-08,-3.63822e-06,0.643,0.66753,0.0237527,0.0237527
0.03,0,-7.78721e-05,0,0.000591971,0,2.64123e-05,0,1.52964e-07,-1.91094e-05,0.643,0.666983,0.0231379,0.0231259
0.032,0,-0.000289781,0,0.00117155,0,4.80762e-05,0,4.34893e-07,-7.30304e-05,0.643,0.666439,0.022392,0.0223445
0.034,0,-0.000634842,0,0.00173957,0,6.69257e-05,0,9.37524e-07,-0.000181392,0.643,0.665896,0.0215197,0.0214143
0.036,0,-0.00110971,0,0.00229671,0,8.46091e-05,0,1.69664e-06,-0.000359042,0.643,0.665354,0.0205259,0.0203409
0.038,0,-0.00171097,0,0.0028435,0,0.000102525,0,2.74843e-06,-0.000619662,0.643,0.664812,0.0194152,0.01913
0.04,0,-0.00243534,0,0.00338026,0,0.00012184,0,4.12858e-06,-0.000975741,0.643,0.664268,0.0181924,0.0177874
0.042,0,-0.00327983,0,0.00390721,0,0.000143508,0,5.87154e-06,-0.00143857,0.643,0.663721,0.016862,0.0163187
0.044,0,-0.00358891,0,0.00359165,0,0.000286635,0,5.49186e-06,-0.00197658,0.643,0.663166,0.0154286,0.0147398
0.046,0,-0.00402192,0,0.0032725,0,0.000400457,0,6.00393e-07,-0.00255928,0.643,0.662597,0.0138969,0.0130659
0.048,0,-0.00457602,0,0.00295038,0,0.00049052,0,-8.58999e-06,-0.00319886,0.643,0.662012,0.0122716,0.0113021
0.05,0,-0.00524864,0,0.00262592,0,0.000561292,0,-2.18499e-05,-0.00390621,0.643,0.661411,0.0105573,0.00945333
0.052,0,-0.00603759,0,0.00229968,0,0.000616351,0,-3.89359e-05,-0.00469097,0.643,0.660792,0.00875848,0.00752421
0.054,0,-0.0069411,0,0.00197222,0,0.000658545,0,-5.95922e-05,-0.0055615,0.643,0.660156,0.00687952,0.00551942
0.056,0,-0.00795784,0,0.0016448,0,0.00069047,0,-8.35533e-05,-0.00652493,0.643,0.659499,0.00492472,0.00344343
0.058,0,-0.00908697,0,0.00135161,0,0.000729318,0,-0.000110599,-0.00758716,0.643,0.658822,0.00289824,0.00130061
